logger_ID,date,logger_serial_number,temperature
19,2021-09-13T08:00:00Z,A541E8,6.66368
19,2021-09-13T09:00:00Z,A541E8,7.43523
19,2021-09-13T10:00:00Z,A541E8,8.76664
19,2021-09-13T11:00:00Z,A541E8,10.3284
19,2021-09-13T12:00:00Z,A541E8,11.7004
19,2021-09-13T13:00:00Z,A541E8,12.928
19,2021-09-13T14:00:00Z,A541E8,13.7153
19,2021-09-13T15:00:00Z,A541E8,13.4834
19,2021-09-13T16:00:00Z,A541E8,12.8877
19,2021-09-13T17:00:00Z,A541E8,12.3
19,2021-09-13T18:00:00Z,A541E8,11.6737
19,2021-09-13T19:00:00Z,A541E8,11.0184
19,2021-09-13T20:00:00Z,A541E8,10.4494
19,2021-09-13T21:00:00Z,A541E8,9.94642
19,2021-09-13T22:00:00Z,A541E8,9.47044
19,2021-09-13T23:00:00Z,A541E8,9.07654
19,2021-09-14T00:00:00Z,A541E8,8.71785
19,2021-09-14T01:00:00Z,A541E8,8.36848
19,2021-09-14T02:00:00Z,A541E8,8.01947
19,2021-09-14T03:00:00Z,A541E8,7.69141
19,2021-09-14T04:00:00Z,A541E8,7.36489
19,2021-09-14T05:00:00Z,A541E8,7.06708
19,2021-09-14T06:00:00Z,A541E8,6.7981
19,2021-09-14T07:00:00Z,A541E8,6.59759
19,2021-09-14T08:00:00Z,A541E8,6.80113
19,2021-09-14T09:00:00Z,A541E8,7.79169
19,2021-09-14T10:00:00Z,A541E8,9.17733
19,2021-09-14T11:00:00Z,A541E8,10.7346
19,2021-09-14T12:00:00Z,A541E8,12.2158
19,2021-09-14T13:00:00Z,A541E8,13.6498
19,2021-09-14T14:00:00Z,A541E8,14.8442
19,2021-09-14T15:00:00Z,A541E8,14.9171
19,2021-09-14T16:00:00Z,A541E8,14.3179
19,2021-09-14T17:00:00Z,A541E8,13.6686
19,2021-09-14T18:00:00Z,A541E8,12.9714
19,2021-09-14T19:00:00Z,A541E8,12.2508
19,2021-09-14T20:00:00Z,A541E8,11.6461
19,2021-09-14T21:00:00Z,A541E8,11.1049
19,2021-09-14T22:00:00Z,A541E8,10.5924
19,2021-09-14T23:00:00Z,A541E8,10.1584
19,2021-09-15T00:00:00Z,A541E8,9.78665
19,2021-09-15T01:00:00Z,A541E8,9.44364
19,2021-09-15T02:00:00Z,A541E8,9.1356
19,2021-09-15T03:00:00Z,A541E8,8.83965
19,2021-09-15T04:00:00Z,A541E8,8.5313
19,2021-09-15T05:00:00Z,A541E8,8.27441
19,2021-09-15T06:00:00Z,A541E8,8.04549
19,2021-09-15T07:00:00Z,A541E8,7.96425
19,2021-09-15T08:00:00Z,A541E8,8.18793
19,2021-09-15T09:00:00Z,A541E8,8.73562
19,2021-09-15T10:00:00Z,A541E8,9.61989
19,2021-09-15T11:00:00Z,A541E8,10.0265
19,2021-09-15T12:00:00Z,A541E8,10.4492
19,2021-09-15T13:00:00Z,A541E8,10.7921
19,2021-09-15T14:00:00Z,A541E8,10.9288
19,2021-09-15T15:00:00Z,A541E8,11.0389
19,2021-09-15T16:00:00Z,A541E8,10.9255
19,2021-09-15T17:00:00Z,A541E8,10.6162
19,2021-09-15T18:00:00Z,A541E8,10.205
19,2021-09-15T19:00:00Z,A541E8,9.82784
19,2021-09-15T20:00:00Z,A541E8,9.53836
19,2021-09-15T21:00:00Z,A541E8,9.28898
19,2021-09-15T22:00:00Z,A541E8,9.0639
19,2021-09-15T23:00:00Z,A541E8,8.8644
19,2021-09-16T00:00:00Z,A541E8,8.69317
19,2021-09-16T01:00:00Z,A541E8,8.52579
19,2021-09-16T02:00:00Z,A541E8,8.35725
19,2021-09-16T03:00:00Z,A541E8,8.22982
19,2021-09-16T04:00:00Z,A541E8,8.11369
19,2021-09-16T05:00:00Z,A541E8,8.0084
19,2021-09-16T06:00:00Z,A541E8,7.93149
19,2021-09-16T07:00:00Z,A541E8,7.89505
19,2021-09-16T08:00:00Z,A541E8,7.94936
19,2021-09-16T09:00:00Z,A541E8,8.03391
19,2021-09-16T10:00:00Z,A541E8,8.18633
19,2021-09-16T11:00:00Z,A541E8,8.45086
19,2021-09-16T12:00:00Z,A541E8,8.79747
19,2021-09-16T13:00:00Z,A541E8,9.03809
19,2021-09-16T14:00:00Z,A541E8,9.1376
19,2021-09-16T15:00:00Z,A541E8,9.11695
19,2021-09-16T16:00:00Z,A541E8,8.94978
19,2021-09-16T17:00:00Z,A541E8,8.73794
19,2021-09-16T18:00:00Z,A541E8,8.47444
19,2021-09-16T19:00:00Z,A541E8,8.22059
19,2021-09-16T20:00:00Z,A541E8,7.97589
19,2021-09-16T21:00:00Z,A541E8,7.71622
19,2021-09-16T22:00:00Z,A541E8,7.43362
19,2021-09-16T23:00:00Z,A541E8,7.22225
19,2021-09-17T00:00:00Z,A541E8,7.05187
19,2021-09-17T01:00:00Z,A541E8,6.91976
19,2021-09-17T02:00:00Z,A541E8,6.81177
19,2021-09-17T03:00:00Z,A541E8,6.72585
19,2021-09-17T04:00:00Z,A541E8,6.59344
19,2021-09-17T05:00:00Z,A541E8,6.46898
19,2021-09-17T06:00:00Z,A541E8,6.35464
19,2021-09-17T07:00:00Z,A541E8,6.25403
19,2021-09-17T08:00:00Z,A541E8,6.23807
19,2021-09-17T09:00:00Z,A541E8,6.39987
19,2021-09-17T10:00:00Z,A541E8,7.48128
19,2021-09-17T11:00:00Z,A541E8,8.9957
19,2021-09-17T12:00:00Z,A541E8,10.4802
19,2021-09-17T13:00:00Z,A541E8,11.6676
19,2021-09-17T14:00:00Z,A541E8,12.5025
19,2021-09-17T15:00:00Z,A541E8,12.9501
19,2021-09-17T16:00:00Z,A541E8,12.9436
19,2021-09-17T17:00:00Z,A541E8,12.4675
19,2021-09-17T18:00:00Z,A541E8,11.773
19,2021-09-17T19:00:00Z,A541E8,11.0462
19,2021-09-17T20:00:00Z,A541E8,10.4262
19,2021-09-17T21:00:00Z,A541E8,9.88395
19,2021-09-17T22:00:00Z,A541E8,9.41002
19,2021-09-17T23:00:00Z,A541E8,8.95192
19,2021-09-18T00:00:00Z,A541E8,8.4398
19,2021-09-18T01:00:00Z,A541E8,7.97079
19,2021-09-18T02:00:00Z,A541E8,7.48562
19,2021-09-18T03:00:00Z,A541E8,7.01489
19,2021-09-18T04:00:00Z,A541E8,6.58657
19,2021-09-18T05:00:00Z,A541E8,6.19202
19,2021-09-18T06:00:00Z,A541E8,5.86485
19,2021-09-18T07:00:00Z,A541E8,5.5866
19,2021-09-18T08:00:00Z,A541E8,5.66822
19,2021-09-18T09:00:00Z,A541E8,6.4419
19,2021-09-18T10:00:00Z,A541E8,7.52114
19,2021-09-18T11:00:00Z,A541E8,8.76661
19,2021-09-18T12:00:00Z,A541E8,10.1051
19,2021-09-18T13:00:00Z,A541E8,11.3306
19,2021-09-18T14:00:00Z,A541E8,12.2439
19,2021-09-18T15:00:00Z,A541E8,12.8302
19,2021-09-18T16:00:00Z,A541E8,12.9389
